Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,48.99900% to 51.00%,48.99900% to 51.00%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,5
Label,,
TIME,CH1,CH2
-5.32000e-07,0.02,0.3
-5.31000e-07,0.02,0.3
-5.30000e-07,-0.02,0.3
-5.29000e-07,-0.02,0.3
-5.28000e-07,-0.02,0.3
-5.27000e-07,-0.02,0.3
-5.26000e-07,-0.02,0.3
-5.25000e-07,-0.02,0.3
-5.24000e-07,-0.02,0.3
-5.23000e-07,0.02,0.3
-5.22000e-07,-0.02,0.3
-5.21000e-07,-0.02,0.3
-5.20000e-07,-0.02,0.5
-5.19000e-07,-0.02,0.3
-5.18000e-07,-0.02,0.5
-5.17000e-07,-0.02,0.3
-5.16000e-07,-0.02,0.3
-5.15000e-07,-0.02,0.3
-5.14000e-07,-0.02,0.3
-5.13000e-07,-0.02,0.3
-5.12000e-07,-0.02,0.3
-5.11000e-07,0.02,0.5
-5.10000e-07,0.02,0.5
-5.09000e-07,0.02,0.5
-5.08000e-07,0.02,0.5
-5.07000e-07,0.02,0.5
-5.06000e-07,0.02,0.3
-5.05000e-07,-0.02,0.5
-5.04000e-07,-0.02,0.5
-5.03000e-07,-0.02,0.5
-5.02000e-07,-0.02,0.5
-5.01000e-07,-0.02,0.3
-5.00000e-07,-0.02,0.5
-4.99000e-07,-0.02,0.5
-4.98000e-07,-0.02,0.5
-4.97000e-07,-0.02,0.3
-4.96000e-07,-0.02,0.3
-4.95000e-07,0.02,0.3
-4.94000e-07,-0.02,0.5
-4.93000e-07,0.02,0.3
-4.92000e-07,-0.02,0.5
-4.91000e-07,0.02,0.3
-4.90000e-07,-0.02,0.5
-4.89000e-07,0.02,0.3
-4.88000e-07,-0.02,0.3
-4.87000e-07,0.02,0.3
-4.86000e-07,0.02,0.3
-4.85000e-07,0.02,0.3
-4.84000e-07,-0.02,0.3
-4.83000e-07,0.02,0.3
-4.82000e-07,-0.02,0.3
-4.81000e-07,-0.02,0.3
-4.80000e-07,-0.02,0.5
-4.79000e-07,0.02,0.5
-4.78000e-07,-0.02,0.5
-4.77000e-07,0.02,0.3
-4.76000e-07,0.02,0.3
-4.75000e-07,0.02,0.3
-4.74000e-07,0.02,0.5
-4.73000e-07,0.02,0.5
-4.72000e-07,0.02,0.5
-4.71000e-07,0.02,0.3
-4.70000e-07,-0.02,0.3
-4.69000e-07,0.02,0.3
-4.68000e-07,0.02,0.5
-4.67000e-07,0.02,0.5
-4.66000e-07,0.02,0.3
-4.65000e-07,0.02,0.5
-4.64000e-07,0.02,0.3
-4.63000e-07,0.02,0.3
-4.62000e-07,-0.02,0.3
-4.61000e-07,0.02,0.5
-4.60000e-07,-0.02,0.3
-4.59000e-07,0.02,0.3
-4.58000e-07,-0.02,0.3
-4.57000e-07,0.02,0.3
-4.56000e-07,-0.02,0.3
-4.55000e-07,0.02,0.3
-4.54000e-07,-0.02,0.3
-4.53000e-07,0.02,0.3
-4.52000e-07,-0.02,0.3
-4.51000e-07,-0.02,0.3
-4.50000e-07,-0.06,0.3
-4.49000e-07,0.02,0.3
-4.48000e-07,0.02,0.3
-4.47000e-07,0.02,0.3
-4.46000e-07,0.02,0.5
-4.45000e-07,0.02,0.3
-4.44000e-07,-0.02,0.3
-4.43000e-07,0.02,0.3
-4.42000e-07,-0.02,0.3
-4.41000e-07,0.02,0.3
-4.40000e-07,-0.02,0.3
-4.39000e-07,-0.02,0.3
-4.38000e-07,-0.02,0.3
-4.37000e-07,-0.02,0.3
-4.36000e-07,-0.02,0.3
-4.35000e-07,-0.02,0.3
-4.34000e-07,-0.02,0.3
-4.33000e-07,0.02,0.5
-4.32000e-07,0.02,0.5
-4.31000e-07,-0.02,0.3
-4.30000e-07,-0.02,0.5
-4.29000e-07,-0.02,0.3
-4.28000e-07,-0.02,0.3
-4.27000e-07,0.02,0.3
-4.26000e-07,-0.02,0.3
-4.25000e-07,-0.02,0.5
-4.24000e-07,-0.02,0.3
-4.23000e-07,-0.02,0.5
-4.22000e-07,-0.02,0.3
-4.21000e-07,-0.02,0.3
-4.20000e-07,-0.02,0.3
-4.19000e-07,0.02,0.5
-4.18000e-07,0.02,0.3
-4.17000e-07,0.02,0.3
-4.16000e-07,-0.02,0.3
-4.15000e-07,0.02,0.3
-4.14000e-07,-0.02,0.3
-4.13000e-07,0.02,0.3
-4.12000e-07,-0.02,0.3
-4.11000e-07,0.02,0.3
-4.10000e-07,-0.02,0.3
-4.09000e-07,0.02,0.3
-4.08000e-07,-0.02,0.3
-4.07000e-07,-0.02,0.3
-4.06000e-07,-0.02,0.3
-4.05000e-07,-0.02,0.3
-4.04000e-07,-0.02,0.3
-4.03000e-07,-0.02,0.3
-4.02000e-07,-0.02,0.3
-4.01000e-07,-0.02,0.3
-4.00000e-07,-0.02,0.5
-3.99000e-07,-0.02,0.3
-3.98000e-07,-0.02,0.3
-3.97000e-07,-0.02,0.3
-3.96000e-07,-0.02,0.5
-3.95000e-07,-0.02,0.5
-3.94000e-07,-0.02,0.5
-3.93000e-07,-0.02,0.5
-3.92000e-07,-0.02,0.5
-3.91000e-07,-0.02,0.3
-3.90000e-07,-0.02,0.5
-3.89000e-07,-0.02,0.5
-3.88000e-07,-0.02,0.5
-3.87000e-07,-0.02,0.3
-3.86000e-07,-0.06,0.5
-3.85000e-07,-0.02,0.3
-3.84000e-07,-0.02,0.5
-3.83000e-07,-0.02,0.5
-3.82000e-07,-0.02,0.3
-3.81000e-07,-0.02,0.5
-3.80000e-07,-0.02,0.5
-3.79000e-07,-0.02,0.5
-3.78000e-07,-0.02,0.5
-3.77000e-07,0.02,0.5
-3.76000e-07,-0.02,0.5
-3.75000e-07,0.02,0.3
-3.74000e-07,-0.06,0.3
-3.73000e-07,-0.02,0.3
-3.72000e-07,-0.02,0.5
-3.71000e-07,0.02,0.5
-3.70000e-07,-0.02,0.3
-3.69000e-07,0.02,0.3
-3.68000e-07,-0.02,0.3
-3.67000e-07,0.02,0.3
-3.66000e-07,0.02,0.3
-3.65000e-07,-0.02,0.3
-3.64000e-07,-0.02,0.3
-3.63000e-07,0.02,0.3
-3.62000e-07,-0.02,0.3
-3.61000e-07,0.02,0.5
-3.60000e-07,-0.02,0.3
-3.59000e-07,-0.02,0.5
-3.58000e-07,-0.02,0.3
-3.57000e-07,-0.02,0.3
-3.56000e-07,-0.02,0.3
-3.55000e-07,-0.02,0.3
-3.54000e-07,-0.02,0.3
-3.53000e-07,-0.02,0.5
-3.52000e-07,-0.02,0.3
-3.51000e-07,0.02,0.5
-3.50000e-07,-0.02,0.3
-3.49000e-07,0.02,0.5
-3.48000e-07,0.02,0.3
-3.47000e-07,0.02,0.3
-3.46000e-07,-0.02,0.3
-3.45000e-07,-0.02,0.3
-3.44000e-07,-0.02,0.5
-3.43000e-07,0.02,0.5
-3.42000e-07,-0.02,0.5
-3.41000e-07,0.02,0.5
-3.40000e-07,-0.02,0.5
-3.39000e-07,0.02,0.3
-3.38000e-07,-0.02,0.3
-3.37000e-07,0.02,0.3
-3.36000e-07,-0.02,0.3
-3.35000e-07,0.02,0.3
-3.34000e-07,-0.02,0.3
-3.33000e-07,0.02,0.3
-3.32000e-07,-0.02,0.3
-3.31000e-07,-0.02,0.3
-3.30000e-07,-0.02,0.5
-3.29000e-07,-0.02,0.3
-3.28000e-07,-0.02,0.5
-3.27000e-07,-0.02,0.5
-3.26000e-07,-0.02,0.5
-3.25000e-07,-0.02,0.5
-3.24000e-07,-0.02,0.5
-3.23000e-07,0.02,0.5
-3.22000e-07,-0.02,0.5
-3.21000e-07,0.02,0.3
-3.20000e-07,-0.02,0.5
-3.19000e-07,0.02,0.3
-3.18000e-07,-0.02,0.3
-3.17000e-07,-0.02,0.3
-3.16000e-07,-0.02,0.3
-3.15000e-07,-0.02,0.3
-3.14000e-07,-0.02,0.3
-3.13000e-07,-0.02,0.3
-3.12000e-07,-0.02,0.3
-3.11000e-07,-0.02,0.3
-3.10000e-07,-0.02,0.3
-3.09000e-07,-0.02,0.3
-3.08000e-07,-0.02,0.5
-3.07000e-07,-0.02,0.3
-3.06000e-07,-0.02,0.3
-3.05000e-07,-0.02,0.3
-3.04000e-07,-0.02,0.3
-3.03000e-07,-0.02,0.3
-3.02000e-07,-0.02,0.3
-3.01000e-07,-0.02,0.3
-3.00000e-07,-0.02,0.3
-2.99000e-07,-0.02,0.3
-2.98000e-07,-0.02,0.3
-2.97000e-07,-0.02,0.3
-2.96000e-07,-0.02,0.3
-2.95000e-07,-0.02,0.3
-2.94000e-07,-0.02,0.3
-2.93000e-07,0.02,0.3
-2.92000e-07,-0.02,0.3
-2.91000e-07,-0.02,0.3
-2.90000e-07,-0.02,0.3
-2.89000e-07,0.02,0.3
-2.88000e-07,-0.02,0.3
-2.87000e-07,0.02,0.3
-2.86000e-07,0.02,0.3
-2.85000e-07,-0.02,0.3
-2.84000e-07,-0.02,0.5
-2.83000e-07,-0.02,0.3
-2.82000e-07,-0.02,0.3
-2.81000e-07,-0.02,0.3
-2.80000e-07,-0.02,0.3
-2.79000e-07,-0.02,0.5
-2.78000e-07,-0.02,0.3
-2.77000e-07,-0.02,0.5
-2.76000e-07,-0.02,0.5
-2.75000e-07,0.02,0.5
-2.74000e-07,-0.02,0.5
-2.73000e-07,-0.02,0.5
-2.72000e-07,-0.02,0.5
-2.71000e-07,-0.02,0.3
-2.70000e-07,-0.02,0.3
-2.69000e-07,0.02,0.3
-2.68000e-07,0.02,0.3
-2.67000e-07,-0.02,0.3
-2.66000e-07,-0.02,0.3
-2.65000e-07,0.02,0.3
-2.64000e-07,-0.02,0.5
-2.63000e-07,-0.02,0.3
-2.62000e-07,-0.02,0.3
-2.61000e-07,-0.02,0.3
-2.60000e-07,-0.02,0.3
-2.59000e-07,-0.02,0.3
-2.58000e-07,-0.02,0.3
-2.57000e-07,0.02,0.3
-2.56000e-07,-0.02,0.3
-2.55000e-07,0.02,0.3
-2.54000e-07,-0.02,0.5
-2.53000e-07,-0.02,0.3
-2.52000e-07,-0.02,0.3
-2.51000e-07,0.02,0.3
-2.50000e-07,-0.02,0.3
-2.49000e-07,0.02,0.3
-2.48000e-07,-0.02,0.3
-2.47000e-07,-0.02,0.3
-2.46000e-07,-0.02,0.3
-2.45000e-07,-0.02,0.3
-2.44000e-07,-0.02,0.3
-2.43000e-07,0.02,0.3
-2.42000e-07,-0.02,0.3
-2.41000e-07,0.02,0.3
-2.40000e-07,-0.02,0.3
-2.39000e-07,-0.02,0.3
-2.38000e-07,-0.02,0.3
-2.37000e-07,-0.02,0.3
-2.36000e-07,-0.02,0.5
-2.35000e-07,0.02,0.5
-2.34000e-07,-0.02,0.3
-2.33000e-07,0.02,0.5
-2.32000e-07,-0.02,0.5
-2.31000e-07,0.02,0.3
-2.30000e-07,-0.02,0.3
-2.29000e-07,0.02,0.3
-2.28000e-07,-0.02,0.5
-2.27000e-07,0.02,0.3
-2.26000e-07,-0.02,0.3
-2.25000e-07,-0.02,0.3
-2.24000e-07,-0.02,0.3
-2.23000e-07,-0.02,0.3
-2.22000e-07,-0.02,0.5
-2.21000e-07,-0.02,0.3
-2.20000e-07,-0.02,0.5
-2.19000e-07,-0.02,0.3
-2.18000e-07,-0.02,0.5
-2.17000e-07,0.02,0.3
