Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,49.49900% to 50.500%,49.49900% to 50.500%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Label,,
TIME,CH1,CH2
-3.40000e-08,-0.12,0.4
-3.30000e-08,-0.04,0.4
-3.20000e-08,-0.12,0.4
-3.10000e-08,-0.04,0.4
-3.00000e-08,-0.12,0.4
-2.90000e-08,-0.12,0.4
-2.80000e-08,-0.12,0.4
-2.70000e-08,-0.12,0.4
-2.60000e-08,-0.12,0.4
-2.50000e-08,-0.04,0.4
-2.40000e-08,-0.04,0.4
-2.30000e-08,-0.04,0.4
-2.20000e-08,-0.04,0.4
-2.10000e-08,-0.04,0.4
-2.00000e-08,-0.12,0.4
-1.90000e-08,-0.04,0.4
-1.80000e-08,-0.04,0.4
-1.70000e-08,-0.04,0.4
-1.60000e-08,-0.04,0.4
-1.50000e-08,-0.04,0.4
-1.40000e-08,-0.12,0.4
-1.30000e-08,-0.04,0.4
-1.20000e-08,-0.12,0.4
-1.10000e-08,-0.04,0.4
-1.00000e-08,-0.12,0.4
-9.00000e-09,-0.04,0.4
-8.00000e-09,-0.12,0.4
-7.00000e-09,-0.04,0.4
-6.00000e-09,-0.12,0.4
-5.00000e-09,-0.04,0.4
-4.00000e-09,-0.12,0.4
-3.00000e-09,-0.04,0.4
-2.00000e-09,-0.04,0.4
-1.00000e-09,0.04,0.2
-1.43698e-20,0.12,0.4
1.00000e-09,0.36,0.4
2.00000e-09,0.84,0.4
3.00000e-09,1.56,0.4
4.00000e-09,2.12,0.4
5.00000e-09,2.52,0.4
6.00000e-09,2.68,0.4
7.00000e-09,2.76,0.4
8.00000e-09,2.68,0.4
9.00000e-09,2.76,0.4
1.00000e-08,2.68,0.4
1.10000e-08,2.76,0.4
1.20000e-08,2.68,0.4
1.30000e-08,2.44,0.4
1.40000e-08,1.8,0.4
1.50000e-08,1.24,0.4
1.60000e-08,0.6,0.4
1.70000e-08,0.2,0.4
1.80000e-08,-0.04,0.4
1.90000e-08,0.04,0.2
2.00000e-08,-0.04,0.4
2.10000e-08,0.04,0.2
2.20000e-08,-0.04,0.2
2.30000e-08,0.04,0.2
2.40000e-08,-0.12,0.4
2.50000e-08,-0.12,0.4
2.60000e-08,-0.12,0.4
2.70000e-08,-0.04,0.4
2.80000e-08,0.04,0.4
2.90000e-08,-0.04,0.4
3.00000e-08,-0.04,0.4
3.10000e-08,-0.04,0.4
3.20000e-08,-0.12,0.4
3.30000e-08,-0.04,0.4
3.40000e-08,-0.04,0.6
3.50000e-08,-0.04,1
3.60000e-08,-0.12,1.4
3.70000e-08,-0.04,1.8
3.80000e-08,-0.12,2.2
3.90000e-08,-0.04,2.4
4.00000e-08,-0.12,2.4
4.10000e-08,-0.04,2.6
4.20000e-08,-0.04,2.6
4.30000e-08,-0.04,2.6
4.40000e-08,-0.04,2.6
4.50000e-08,-0.04,2.6
4.60000e-08,-0.04,2.4
4.70000e-08,-0.04,2.2
4.80000e-08,-0.04,1.8
4.90000e-08,-0.04,1.2
5.00000e-08,-0.12,0.8
5.10000e-08,-0.04,0.6
5.20000e-08,-0.04,0.6
5.30000e-08,-0.04,0.6
5.40000e-08,-0.04,0.6
5.50000e-08,-0.04,0.6
5.60000e-08,-0.12,0.6
5.70000e-08,-0.04,0.4
5.80000e-08,-0.12,0.6
5.90000e-08,-0.04,0.4
6.00000e-08,-0.04,0.6
6.10000e-08,-0.04,0.4
6.20000e-08,-0.04,0.4
6.30000e-08,-0.04,0.4
6.40000e-08,-0.12,0.4
6.50000e-08,-0.04,0.4
6.60000e-08,-0.12,0.4
6.70000e-08,-0.12,0.4
6.80000e-08,-0.2,0.4
6.90000e-08,-0.28,0.4
7.00000e-08,-0.28,0.4
7.10000e-08,-0.28,0.4
7.20000e-08,-0.36,0.2
7.30000e-08,-0.36,0.4
7.40000e-08,-0.36,0.4
7.50000e-08,-0.28,0.4
7.60000e-08,-0.28,0.4
7.70000e-08,-0.28,0.4
7.80000e-08,-0.28,0.4
7.90000e-08,-0.2,0.4
8.00000e-08,-0.12,0.4
8.10000e-08,-0.04,0.4
8.20000e-08,-0.04,0.4
8.30000e-08,0.04,0.4
8.40000e-08,-0.04,0.4
8.50000e-08,-0.04,0.4
8.60000e-08,-0.12,0.4
8.70000e-08,-0.04,0.4
8.80000e-08,-0.04,0.4
8.90000e-08,-0.04,0.4
9.00000e-08,-0.12,0.4
9.10000e-08,-0.12,0.4
9.20000e-08,-0.12,0.4
9.30000e-08,-0.12,0.4
9.40000e-08,-0.12,0.4
9.50000e-08,-0.12,0.4
9.60000e-08,-0.12,0.4
9.70000e-08,-0.12,0.4
9.80000e-08,-0.12,0.4
9.90000e-08,-0.04,0.4
1.00000e-07,-0.12,0.4
1.01000e-07,-0.12,0.4
1.02000e-07,-0.12,0.4
1.03000e-07,-0.12,0.2
1.04000e-07,-0.04,0.4
1.05000e-07,-0.04,0.4
1.06000e-07,-0.04,0.4
1.07000e-07,-0.04,0.4
1.08000e-07,-0.12,0.4
1.09000e-07,-0.04,0.4
1.10000e-07,-0.12,0.4
1.11000e-07,-0.04,0.4
1.12000e-07,-0.04,0.4
1.13000e-07,-0.04,0.4
1.14000e-07,-0.04,0.4
1.15000e-07,-0.04,0.4
1.16000e-07,-0.04,0.4
1.17000e-07,-0.04,0.4
1.18000e-07,-0.04,0.4
1.19000e-07,-0.04,0.4
1.20000e-07,-0.04,0.4
1.21000e-07,-0.04,0.2
1.22000e-07,-0.04,0.4
1.23000e-07,-0.04,0.4
1.24000e-07,-0.04,0.4
1.25000e-07,-0.04,0.4
1.26000e-07,-0.04,0.4
1.27000e-07,-0.04,0.4
1.28000e-07,-0.12,0.4
1.29000e-07,-0.04,0.4
1.30000e-07,-0.04,0.4
1.31000e-07,-0.04,0.4
1.32000e-07,-0.12,0.4
1.33000e-07,-0.04,0.4
1.34000e-07,-0.04,0.4
1.35000e-07,-0.04,0.4
1.36000e-07,-0.04,0.4
1.37000e-07,-0.04,0.2
1.38000e-07,-0.12,0.4
1.39000e-07,-0.04,0.4
1.40000e-07,-0.12,0.4
1.41000e-07,-0.04,0.4
1.42000e-07,-0.12,0.2
1.43000e-07,-0.12,0.4
1.44000e-07,-0.12,0.4
1.45000e-07,-0.04,0.4
1.46000e-07,-0.12,0.4
1.47000e-07,-0.04,0.4
